Year,Metric tons - thousand
2010-12-31,67624.0
2009-12-31,66481.0
2008-12-31,71447.0
2007-12-31,69403.0
2006-12-31,70873.0
2005-12-31,73634.0
2004-12-31,73473.0
2003-12-31,70119.0
2002-12-31,71325.0
2001-12-31,72096.0
2000-12-31,76504.0
1999-12-31,73961.0
1998-12-31,72087.0
1997-12-31,73344.0
1996-12-31,72557.0
1995-12-31,67541.0
1994-12-31,69086.0
1993-12-31,67530.0
1992-12-31,66412.0
1991-12-31,68064.0
1990-12-31,70280.0
