Date,Value
2013-12-31,3.8180890560051
2012-12-31,4.2366586195803
2011-12-31,4.5839862868043
2010-12-31,4.665603031194
2009-12-31,4.6368029017873
2008-12-31,4.220041987689
2007-12-31,3.8470533790131
2006-12-31,3.8081972300608
2005-12-31,3.8442380686895
2004-12-31,3.7855787012521
2003-12-31,3.6072784452727
2002-12-31,3.2495559098155
2001-12-31,2.9443502984428
2000-12-31,2.9334260267579
1999-12-31,2.9084011345051
1998-12-31,3.017625313559
1997-12-31,3.2098971946332
1996-12-31,3.3507444260635
1995-12-31,3.6384702704819
1994-12-31,3.9412625875657
1993-12-31,4.3269367758443
1992-12-31,4.6662639732081
1991-12-31,4.5398769031422
1990-12-31,5.120242156666
1989-12-31,5.3747105714336
1988-12-31,5.5799604005635
