Year,Metric tons - thousand
2010-12-31,3681.0
2009-12-31,2674.0
2008-12-31,3140.0
2007-12-31,8179.0
2006-12-31,6961.0
2005-12-31,7598.0
2004-12-31,4685.0
2003-12-31,4248.0
2002-12-31,4116.0
2001-12-31,6177.0
2000-12-31,6220.0
1999-12-31,5009.0
1998-12-31,4934.0
1997-12-31,3605.0
1996-12-31,3801.0
1995-12-31,3888.0
1994-12-31,3963.0
1993-12-31,3364.0
1992-12-31,2797.0
1991-12-31,2425.0
1990-12-31,3889.0
