Year,Metric tons - thousand
2010-12-31,1373.0
2009-12-31,1001.0
2008-12-31,972.0
2007-12-31,877.0
2006-12-31,842.0
2005-12-31,580.0
2004-12-31,412.0
2003-12-31,230.0
2002-12-31,307.0
2001-12-31,253.0
2000-12-31,253.0
1999-12-31,209.0
1998-12-31,118.0
1997-12-31,132.0
1996-12-31,121.0
1995-12-31,126.0
1994-12-31,112.0
1993-12-31,108.0
1992-12-31,217.0
1991-12-31,88.0
1990-12-31,189.0
